
1,全般,1,,Laravelがわかる（MVCモデルを理解）,そもそもどういうものなのか,PHPのフレームワーク（PHPにおけるシステム開発を簡単に行えるように用意された枠組みのこと）
2,バックエンド,1,,Laravelの処理の流れがわかる,URLが叩かれて画面が表示されるまでの流れ,"URL叩かれる->route->controller->model->blade(html)->js,css(bladeの記載順)"
3,バックエンド,1,,Controllerファイルの役割がわかる,どういう役割なのか、利用方法,"routeからの処理を受け取り、最終的に画面を表示する。
コントローラーを一目見れば何をしてるのか分かるのが理想（複雑な処理はRepositoryやmodelに記載して、そのメソッドを呼び出すようにする）"
4,バックエンド,1,,repositoryファイルの役割がわかる,どういう役割なのか、利用方法,"コントローラーから呼び出されるファイルで、主にメソッドや定数がまとめられる場所
複雑な処理であったり、汎用的でないメソッドはここに記載する"
5,バックエンド,1,,routeファイルの役割がわかる,どういう役割なのか、利用方法,叩かれたURLに対して、設定されたコントローラーのメソッドに処理を渡す役割
6,バックエンド,1,,modelファイルの役割がわかる,どういう役割なのか、利用方法,DBのテーブルの数だけ、対応するモデルがあり、コントローラでそのモデルを操作することができる
7,バックエンド,1,,requestファイルの役割がわかる,どういう役割なのか、利用方法,画面からの値を受け取ったり、画面で入力された値に対してバリデーション（エラーチェック）ができる
8,フロントエンド,1,,bladeファイルの役割がわかる,どういう役割なのか、利用方法,"画面を構成する要素を生成するファイル。html,js,css"
9,フロントエンド,1,,jsファイルの役割がわかる,どういう役割なのか、利用方法,jsを書く場所
10,フロントエンド,1,,cssファイルの役割がわかる,どういう役割なのか、利用方法,cssを書く場所
11,バックエンド,1,,route処理を実装できる,叩かれたURLから指定のControllerのメソッドの処理を呼べる,"Route::get('/', 'HelloController@index');
叩かれたURLに対して、設定されたコントローラーのメソッドに処理を渡す"
12,全般,1,,命名規則がわかる,スネーク、キャメル,ファイルによって、キャメルやスネークなどに合わせる
13,全般,1,,適切なファイル名が設定できる,,"どの画面の何をするためのファイルなのかが分かるように
ex)一覧表示画面：ListController、詳細表示画面：DetailController"
14,全般,1,,適切なメソッド名が設定できる,メソッド名を見ただけで大体どういう処理をするのかがわかるような命名をする,どの画面の何をするためのファイルなのかが分かるようにメソッド名を設定する
15,全般,1,,適切な変数名が設定できる,変数名を見ただけで大体どういう使われ方をするのかがわかるような命名をする,"ファイルによって、キャメルやスネークなどに合わせる
変数の中身が分かるような名前を付ける"
16,全般,2,,適切なコメントを記載する事ができる,なぜこの処理をするのか、他の人が改修することを前提に,どういう意図でこの処理を実装したのか、メソッドには説明を入れる
17,全般,1,,論理削除がわかる,論理削除とは？実用性,テーブルのデータを消した程で扱う削除方法
18,全般,1,,物理削除がわかる,物理削除とは？実用性,データを完全に削除
